epoch = 30,  batch_zize = 10, CrossEntropyLoss


Epoch: 1, Batch: 1000, Avg. Loss: 1.5931234560608865
Epoch: 1, Batch: 2000, Avg. Loss: 1.0641990577429532
Epoch: 1, Batch: 3000, Avg. Loss: 0.9253284708112478
Epoch: 1, Batch: 4000, Avg. Loss: 0.8153095443397761
Epoch: 1, Batch: 5000, Avg. Loss: 0.7642958017662168
Epoch: 1, Batch: 6000, Avg. Loss: 0.7340756606459617
Epoch: 2, Batch: 1000, Avg. Loss: 0.7045122069194913
Epoch: 2, Batch: 2000, Avg. Loss: 0.6719979579523205
Epoch: 2, Batch: 3000, Avg. Loss: 0.6378265593126416
Epoch: 2, Batch: 4000, Avg. Loss: 0.6340487234778702
Epoch: 2, Batch: 5000, Avg. Loss: 0.6299636899717153
Epoch: 2, Batch: 6000, Avg. Loss: 0.6096507225222886
Epoch: 3, Batch: 1000, Avg. Loss: 0.5895165132209659
Epoch: 3, Batch: 2000, Avg. Loss: 0.585046605091542
Epoch: 3, Batch: 3000, Avg. Loss: 0.5820996500924229
Epoch: 3, Batch: 4000, Avg. Loss: 0.5705671721063554
Epoch: 3, Batch: 5000, Avg. Loss: 0.5523179147969931
Epoch: 3, Batch: 6000, Avg. Loss: 0.5500488058924675
Epoch: 4, Batch: 1000, Avg. Loss: 0.539158617394045
Epoch: 4, Batch: 2000, Avg. Loss: 0.5217682297751307
Epoch: 4, Batch: 3000, Avg. Loss: 0.5350623878063634
Epoch: 4, Batch: 4000, Avg. Loss: 0.5143640323672444
Epoch: 4, Batch: 5000, Avg. Loss: 0.5142212215140461
Epoch: 4, Batch: 6000, Avg. Loss: 0.5023041262663901
Epoch: 5, Batch: 1000, Avg. Loss: 0.49086343821696937
Epoch: 5, Batch: 2000, Avg. Loss: 0.49284405224397776
Epoch: 5, Batch: 3000, Avg. Loss: 0.49460051425220447
Epoch: 5, Batch: 4000, Avg. Loss: 0.4744994978448376
Epoch: 5, Batch: 5000, Avg. Loss: 0.47749554834887387
Epoch: 5, Batch: 6000, Avg. Loss: 0.4681276176162064
Epoch: 6, Batch: 1000, Avg. Loss: 0.4637939791232347
Epoch: 6, Batch: 2000, Avg. Loss: 0.4587143722884357
Epoch: 6, Batch: 3000, Avg. Loss: 0.45531900649517776
Epoch: 6, Batch: 4000, Avg. Loss: 0.454865830142051
Epoch: 6, Batch: 5000, Avg. Loss: 0.44990423165168614
Epoch: 6, Batch: 6000, Avg. Loss: 0.451927405375056
Epoch: 7, Batch: 1000, Avg. Loss: 0.4539823378045112
Epoch: 7, Batch: 2000, Avg. Loss: 0.4361736385161057
Epoch: 7, Batch: 3000, Avg. Loss: 0.431499627135694
Epoch: 7, Batch: 4000, Avg. Loss: 0.43186333868000654
Epoch: 7, Batch: 5000, Avg. Loss: 0.42748379477486015
Epoch: 7, Batch: 6000, Avg. Loss: 0.4157350926632062
Epoch: 8, Batch: 1000, Avg. Loss: 0.41128742155618964
Epoch: 8, Batch: 2000, Avg. Loss: 0.41510302056372167
Epoch: 8, Batch: 3000, Avg. Loss: 0.425857270559296
Epoch: 8, Batch: 4000, Avg. Loss: 0.41829522724449636
